nazwa,miasto,rok,torty,ciasta,lokale,pieczywo
szydłowski,gdańsk,1953,1,1,14,1
formella,gdynia,1988,1,0,4,0
Róg Wojskiego,gdańsk,1962,1,0,1,0
A. Blikle,gdańsk,1869,1,1,23,0
cukiernia WZ,gdańsk,1958,1,1,5,1
jacek-placek,gdańsk,1994,1,1,4,0
Rydelek,sopot,1957,1,1,1,1
Sowa,gdynia,1946,1,1,70,1
Bochen,gdynia,1991,0,1,4,1
B&M Wenta,lębork,1939,1,1,22,1
Czernis,gdańsk,1998,1,1,10,1
Delicje,gdynia,1979,1,1,8,0
Pellowski,gdańsk,1922,1,1,23,1
EL,gdańsk,1990,1,1,16,1
Karpińscy,gdańsk,1998,0,1,11,1
Paryska,gdynia,2007,0,1,14,1
Raszczyk,elbląg,1950,1,1,18,1
Mielnik,straszyn,1992,1,1,5,1
Stara Pączkarnia,szczecin,1989,0,1,33,0
Cymes,gdańsk,1982,1,1,6,1
Sambor,tczew,2003,1,1,6,1
Wąs,tczew,1921,1,1,7,1